natx =      250
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -2.10733      0.00000      2.98000   1      3.64983
      1.05366     -1.82500      2.98000   1      3.64983
      1.05366      1.82500      2.98000   1      3.64983
      1.05366      1.82500     -2.98000   1      3.64983
     -2.10733      0.00000     -2.98000   1      3.64983
      1.05366     -1.82500     -2.98000   1      3.64983
     -3.16099      1.82500      0.00000   1      3.65000
      0.00000     -3.65000      0.00000   1      3.65000
      0.00000      3.65000      0.00000   1      3.65000
      3.16099     -1.82500      0.00000   1      3.65000
     -3.16099     -1.82500      0.00000   1      3.65000
      3.16099      1.82500      0.00000   1      3.65000
     -2.10733     -3.65000      2.98000   1      5.16176
     -2.10733      3.65000      2.98000   1      5.16176
     -2.10733      3.65000     -2.98000   1      5.16176
     -2.10733     -3.65000     -2.98000   1      5.16176
      4.21466      0.00000     -2.98000   1      5.16176
      4.21466      0.00000      2.98000   1      5.16176
      0.00000      0.00000     -5.96000   1      5.96000
      0.00000      0.00000      5.96000   1      5.96000
     -5.26832      1.82500      2.98000   1      6.32189
      1.05366     -5.47500      2.98000   1      6.32189
     -5.26832     -1.82500      2.98000   1      6.32189
     -5.26832      1.82500     -2.98000   1      6.32189
      1.05366     -5.47500     -2.98000   1      6.32189
      1.05366      5.47500     -2.98000   1      6.32189
      1.05366      5.47500      2.98000   1      6.32189
      4.21466     -3.65000     -2.98000   1      6.32189
      4.21466     -3.65000      2.98000   1      6.32189
      4.21466      3.65000     -2.98000   1      6.32189
      4.21466      3.65000      2.98000   1      6.32189
     -5.26832     -1.82500     -2.98000   1      6.32189
     -3.16099      5.47500      0.00000   1      6.32199
      3.16099     -5.47500      0.00000   1      6.32199
     -3.16099     -5.47500      0.00000   1      6.32199
      3.16099      5.47500      0.00000   1      6.32199
     -6.32199      0.00000      0.00000   1      6.32199
      6.32199      0.00000      0.00000   1      6.32199
     -3.16099     -1.82500      5.96000   1      6.98886
     -3.16099      1.82500     -5.96000   1      6.98886
     -3.16099      1.82500      5.96000   1      6.98886
      0.00000     -3.65000     -5.96000   1      6.98886
      0.00000     -3.65000      5.96000   1      6.98886
      0.00000      3.65000     -5.96000   1      6.98886
      0.00000      3.65000      5.96000   1      6.98886
      3.16099     -1.82500     -5.96000   1      6.98886
      3.16099     -1.82500      5.96000   1      6.98886
      3.16099      1.82500     -5.96000   1      6.98886
     -3.16099     -1.82500     -5.96000   1      6.98886
      3.16099      1.82500      5.96000   1      6.98886
     -6.32199      3.65000      0.00000   1      7.30000
      0.00000     -7.30000      0.00000   1      7.30000
      0.00000      7.30000      0.00000   1      7.30000
      6.32199     -3.65000      0.00000   1      7.30000
     -6.32199     -3.65000      0.00000   1      7.30000
      6.32199      3.65000      0.00000   1      7.30000
     -5.26832      5.47500      2.98000   1      8.16157
     -5.26832      5.47500     -2.98000   1      8.16157
     -2.10733      7.30000     -2.98000   1      8.16157
     -2.10733      7.30000      2.98000   1      8.16157
     -2.10733     -7.30000     -2.98000   1      8.16157
     -2.10733     -7.30000      2.98000   1      8.16157
     -5.26832     -5.47500     -2.98000   1      8.16157
     -5.26832     -5.47500      2.98000   1      8.16157
     -3.16099      5.47500     -5.96000   1      8.68845
     -3.16099      5.47500      5.96000   1      8.68845
      3.16099     -5.47500     -5.96000   1      8.68845
      3.16099     -5.47500      5.96000   1      8.68845
     -3.16099     -5.47500     -5.96000   1      8.68845
     -6.32199      0.00000      5.96000   1      8.68845
      3.16099      5.47500     -5.96000   1      8.68845
      3.16099      5.47500      5.96000   1      8.68845
      6.32199      0.00000     -5.96000   1      8.68845
     -3.16099     -5.47500      5.96000   1      8.68845
     -6.32199      0.00000     -5.96000   1      8.68845
      6.32199      0.00000      5.96000   1      8.68845
      4.21466     -7.30000      2.98000   1      8.94057
     -8.42931      0.00000     -2.98000   1      8.94057
     -8.42931      0.00000      2.98000   1      8.94057
      4.21466     -7.30000     -2.98000   1      8.94057
     -2.10733      0.00000      8.94000   1      9.18501
      1.05366     -1.82500      8.94000   1      9.18501
      1.05366      1.82500      8.94000   1      9.18501
     -2.10733      0.00000     -8.94000   1      9.18501
      1.05366     -1.82500     -8.94000   1      9.18501
      1.05366      1.82500     -8.94000   1      9.18501
      0.00000     -7.30000      5.96000   1      9.42399
      0.00000      7.30000     -5.96000   1      9.42399
     -6.32199      3.65000      5.96000   1      9.42399
      6.32199     -3.65000     -5.96000   1      9.42399
      0.00000     -7.30000     -5.96000   1      9.42399
      0.00000      7.30000      5.96000   1      9.42399
     -6.32199      3.65000     -5.96000   1      9.42399
     -6.32199     -3.65000      5.96000   1      9.42399
     -6.32199     -3.65000     -5.96000   1      9.42399
      6.32199     -3.65000      5.96000   1      9.42399
      6.32199      3.65000     -5.96000   1      9.42399
      6.32199      3.65000      5.96000   1      9.42399
      1.05366     -9.12500      2.98000   1      9.65693
      1.05366     -9.12500     -2.98000   1      9.65693
     -8.42931      3.65000      2.98000   1      9.65693
     -8.42931     -3.65000      2.98000   1      9.65693
     -8.42931      3.65000     -2.98000   1      9.65693
     -8.42931     -3.65000     -2.98000   1      9.65693
      3.16099     -9.12500      0.00000   1      9.65699
     -6.32199      7.30000      0.00000   1      9.65699
     -3.16099      9.12500      0.00000   1      9.65699
      6.32199     -7.30000      0.00000   1      9.65699
     -2.10733     -3.65000      8.94000   1      9.88367
     -2.10733      3.65000     -8.94000   1      9.88367
     -2.10733      3.65000      8.94000   1      9.88367
      4.21466      0.00000      8.94000   1      9.88367
     -2.10733     -3.65000     -8.94000   1      9.88367
      4.21466      0.00000     -8.94000   1      9.88367
     -5.26832     -1.82500      8.94000   1     10.53610
      1.05366     -5.47500      8.94000   1     10.53610
      1.05366      5.47500      8.94000   1     10.53610
     -5.26832      1.82500      8.94000   1     10.53610
      4.21466     -3.65000      8.94000   1     10.53610
      1.05366     -5.47500     -8.94000   1     10.53610
     -5.26832     -1.82500     -8.94000   1     10.53610
      1.05366      5.47500     -8.94000   1     10.53610
     -5.26832      1.82500     -8.94000   1     10.53610
      4.21466     -3.65000     -8.94000   1     10.53610
      4.21466      3.65000     -8.94000   1     10.53610
      4.21466      3.65000      8.94000   1     10.53610
     -5.26832      9.12500     -2.98000   1     10.94994
     -5.26832      9.12500      2.98000   1     10.94994
     -3.16099      9.12500     -5.96000   1     11.34809
      3.16099     -9.12500     -5.96000   1     11.34809
      3.16099     -9.12500      5.96000   1     11.34809
     -3.16099      9.12500      5.96000   1     11.34809
     -6.32199      7.30000     -5.96000   1     11.34809
     -6.32199      7.30000      5.96000   1     11.34809
      6.32199     -7.30000     -5.96000   1     11.34809
      6.32199     -7.30000      5.96000   1     11.34809
     -8.42931      7.30000     -2.98000   1     11.54226
     -8.42931      7.30000      2.98000   1     11.54226
     -2.10733      7.30000     -8.94000   1     11.73262
     -2.10733      7.30000      8.94000   1     11.73262
     -5.26832      5.47500      8.94000   1     11.73262
     -5.26832      5.47500     -8.94000   1     11.73262
     -5.26832     -5.47500      8.94000   1     11.73262
     -2.10733     -7.30000      8.94000   1     11.73262
     -2.10733     -7.30000     -8.94000   1     11.73262
     -5.26832     -5.47500     -8.94000   1     11.73262
      0.00000      0.00000    -11.92000   1     11.92000
      0.00000      0.00000     11.92000   1     11.92000
      4.21466    -10.95000     -2.98000   1     12.10563
      4.21466    -10.95000      2.98000   1     12.10563
      4.21466     -7.30000      8.94000   1     12.28727
     -8.42931      0.00000      8.94000   1     12.28727
     -8.42931      0.00000     -8.94000   1     12.28727
      4.21466     -7.30000     -8.94000   1     12.28727
      0.00000     -3.65000    -11.92000   1     12.46631
     -3.16099      1.82500     11.92000   1     12.46631
      3.16099     -1.82500    -11.92000   1     12.46631
     -3.16099      1.82500    -11.92000   1     12.46631
      3.16099     -1.82500     11.92000   1     12.46631
