natx =      141
    x       y        z       iph  
      0.00000      0.00000      0.00000   0
     -1.79059     -1.79059      0.00000   1
     -1.79059      0.00000     -1.79059   1
     -1.79059      0.00000      1.79059   1
     -1.79059      1.79059      0.00000   1
      0.00000     -1.79059     -1.79059   1
      0.00000     -1.79059      1.79059   1
      0.00000      1.79059     -1.79059   1
      0.00000      1.79059      1.79059   1
      1.79059     -1.79059      0.00000   1
      1.79059      0.00000     -1.79059   1
      1.79059      0.00000      1.79059   1
      1.79059      1.79059      0.00000   1
     -3.58117      0.00000      0.00000   1
      0.00000     -3.58117      0.00000   1
      0.00000      0.00000     -3.58117   1
      0.00000      0.00000      3.58117   1
      0.00000      3.58117      0.00000   1
      3.58117      0.00000      0.00000   1
     -3.58117     -1.79059     -1.79059   1
     -3.58117     -1.79059      1.79059   1
     -1.79059     -3.58117     -1.79059   1
     -1.79059     -3.58117      1.79059   1
      3.58117     -1.79059      1.79059   1
      1.79059      3.58117     -1.79059   1
      1.79059      3.58117      1.79059   1
      3.58117      1.79059     -1.79059   1
     -3.58117      1.79059     -1.79059   1
     -3.58117      1.79059      1.79059   1
     -1.79059      3.58117     -1.79059   1
     -1.79059      3.58117      1.79059   1
      3.58117     -1.79059     -1.79059   1
      1.79059     -3.58117     -1.79059   1
      1.79059     -3.58117      1.79059   1
      3.58117      1.79059      1.79059   1
      1.79059     -1.79059     -3.58117   1
      1.79059     -1.79059      3.58117   1
      1.79059      1.79059      3.58117   1
     -1.79059     -1.79059     -3.58117   1
      1.79059      1.79059     -3.58117   1
     -1.79059     -1.79059      3.58117   1
     -1.79059      1.79059      3.58117   1
     -1.79059      1.79059     -3.58117   1
     -3.58117     -3.58117      0.00000   1
     -3.58117      0.00000     -3.58117   1
     -3.58117      0.00000      3.58117   1
     -3.58117      3.58117      0.00000   1
      0.00000     -3.58117     -3.58117   1
      0.00000     -3.58117      3.58117   1
      0.00000      3.58117     -3.58117   1
      0.00000      3.58117      3.58117   1
      3.58117     -3.58117      0.00000   1
      3.58117      0.00000     -3.58117   1
      3.58117      0.00000      3.58117   1
      3.58117      3.58117      0.00000   1
     -5.37176     -1.79059      0.00000   1
     -5.37176      0.00000     -1.79059   1
     -5.37176      0.00000      1.79059   1
     -5.37176      1.79059      0.00000   1
     -1.79059     -5.37176      0.00000   1
      0.00000     -5.37176     -1.79059   1
      0.00000     -5.37176      1.79059   1
      1.79059     -5.37176      0.00000   1
     -1.79059      0.00000     -5.37176   1
      0.00000     -1.79059     -5.37176   1
      0.00000      1.79059     -5.37176   1
      1.79059      0.00000     -5.37176   1
     -1.79059      0.00000      5.37176   1
      0.00000     -1.79059      5.37176   1
      0.00000      1.79059      5.37176   1
      1.79059      0.00000      5.37176   1
     -1.79059      5.37176      0.00000   1
      0.00000      5.37176     -1.79059   1
      0.00000      5.37176      1.79059   1
      1.79059      5.37176      0.00000   1
      5.37176     -1.79059      0.00000   1
      5.37176      0.00000     -1.79059   1
      5.37176      0.00000      1.79059   1
      5.37176      1.79059      0.00000   1
     -3.58117     -3.58117     -3.58117   1
     -3.58117     -3.58117      3.58117   1
     -3.58117      3.58117     -3.58117   1
     -3.58117      3.58117      3.58117   1
      3.58117     -3.58117     -3.58117   1
      3.58117     -3.58117      3.58117   1
      3.58117      3.58117     -3.58117   1
      3.58117      3.58117      3.58117   1
     -5.37176     -1.79059     -3.58117   1
     -5.37176      1.79059     -3.58117   1
     -5.37176     -1.79059      3.58117   1
     -5.37176      1.79059      3.58117   1
     -1.79059     -5.37176     -3.58117   1
      1.79059     -5.37176     -3.58117   1
     -1.79059     -5.37176      3.58117   1
      1.79059     -5.37176      3.58117   1
     -1.79059      5.37176     -3.58117   1
      1.79059      5.37176     -3.58117   1
     -1.79059      5.37176      3.58117   1
      1.79059      5.37176      3.58117   1
      5.37176     -1.79059     -3.58117   1
      5.37176      1.79059     -3.58117   1
      5.37176     -1.79059      3.58117   1
      5.37176      1.79059      3.58117   1
     -3.58117     -1.79059     -5.37176   1
     -3.58117      1.79059     -5.37176   1
     -3.58117     -1.79059      5.37176   1
     -3.58117      1.79059      5.37176   1
     -1.79059     -3.58117     -5.37176   1
      1.79059     -3.58117     -5.37176   1
     -1.79059     -3.58117      5.37176   1
      1.79059     -3.58117      5.37176   1
     -1.79059      3.58117     -5.37176   1
      1.79059      3.58117     -5.37176   1
     -1.79059      3.58117      5.37176   1
      1.79059      3.58117      5.37176   1
      3.58117     -1.79059     -5.37176   1
      3.58117      1.79059     -5.37176   1
      3.58117     -1.79059      5.37176   1
      3.58117      1.79059      5.37176   1
     -3.58117     -5.37176     -1.79059   1
     -3.58117     -5.37176      1.79059   1
     -5.37176     -3.58117     -1.79059   1
     -5.37176     -3.58117      1.79059   1
     -3.58117      5.37176     -1.79059   1
     -3.58117      5.37176      1.79059   1
     -5.37176      3.58117     -1.79059   1
     -5.37176      3.58117      1.79059   1
      5.37176     -3.58117     -1.79059   1
      5.37176     -3.58117      1.79059   1
      3.58117     -5.37176     -1.79059   1
      3.58117     -5.37176      1.79059   1
      5.37176      3.58117     -1.79059   1
      5.37176      3.58117      1.79059   1
      3.58117      5.37176     -1.79059   1
      3.58117      5.37176      1.79059   1
     -7.16235      0.00000      0.00000   1
      0.00000     -7.16235      0.00000   1
      0.00000      0.00000     -7.16235   1
      0.00000      0.00000      7.16235   1
      0.00000      7.16235      0.00000   1
      7.16235      0.00000      0.00000   1
