# PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03    12.000     2   2.5323
        2     0.00000     0.2299E+02     6.000     2   3.5812
        3     0.00000     0.1061E+02    48.000     3   3.7984
        4     0.00000     0.7517E+01    48.000     3   4.3229
        5     0.00000     0.5507E+02    24.000     2   4.3860
        6     0.00000     0.1125E+02    48.000     3   4.7253
        7     0.00000     0.1745E+02    96.000     3   4.7253
        8     0.00000     0.1867E+02    12.000     2   5.0645
        9     0.00000     0.8742E+01    12.000     3   5.0646
       10     0.00000     0.3986E+02    24.000     3   5.0645
       11     0.00000     0.9740E+01    12.000     4   5.0646
       12     0.00000     0.4051E+01    12.000     4   5.0646
       14     0.00000     0.3190E+02    12.000     4   5.0645
       15     0.00000     0.2681E+01    48.000     4   5.0646
       16     0.00000     0.2724E+02    24.000     2   5.6623
       17     0.00000     0.8941E+01    48.000     3   5.8879
       18     0.00000     0.5831E+01    48.000     3   5.8879
       19     0.00000     0.6341E+01    48.000     3   5.8879
       20     0.00000     0.4311E+01    96.000     3   5.9914
       21     0.00000     0.4967E+01    96.000     3   5.9914
       22     0.00000     0.4655E+01    96.000     4   5.9914
       23     0.00000     0.4812E+01    96.000     4   5.9914
       25     0.00000     0.6954E+01     8.000     2   6.2028
       26     0.00000     0.5008E+01    96.000     3   6.2903
       27     0.00000     0.4105E+01    48.000     3   6.5605
       28     0.00000     0.3041E+01    48.000     3   6.5605
       29     0.00000     0.3309E+02    48.000     2   6.6998
       30     0.00000     0.1657E+02    96.000     3   6.8090
       31     0.00000     0.9613E+01    96.000     3   6.8090
       32     0.00000     0.9060E+01    96.000     3   6.8090
       33     0.00000     0.3736E+01    96.000     4   6.9183
       34     0.00000     0.4859E+01    96.000     4   6.9183
       35     0.00000     0.4777E+01    96.000     3   7.1483
       36     0.00000     0.3851E+01    96.000     3   7.1483
       37     0.00000     0.3378E+01    96.000     4   7.1483
       39     0.00000     0.2770E+01    96.000     4   7.1483
       40     0.00000     0.3366E+01     6.000     2   7.1623
       41     0.00000     0.5490E+01    12.000     3   7.1623
       42     0.00000     0.3452E+01     6.000     4   7.1623
       43     0.00000     0.4009E+01    24.000     3   7.5968
       44     0.00000     0.7831E+01    24.000     6   7.5968
       45     0.00000     0.3179E+01    24.000     4   7.5968
       46     0.00000     0.3508E+01    24.000     4   7.5968
       47     0.00000     0.4104E+01    24.000     4   7.5968
       48     0.00000     0.4482E+01    24.000     5   7.5968
       49     0.00000     0.5151E+01    24.000     5   7.5968
       50     0.00000     0.5503E+01    24.000     5   7.5968
       51     0.00000     0.4022E+01    48.000     3   7.7820
       52     0.00000     0.5417E+01    96.000     3   7.8957
