Pathfinder: finding scattering paths...
Preparing plane wave scattering amplitudes
Searching for paths
    Rmax  8.0000  keep and heap limits   0.0000000   0.0000000
    Preparing neighbor table
    nfound  heapsize  maxheap  maxscatt   reff
          1000      1894      1894     5     5.2497
          2000      3038      3038     5     5.9914
          3000      4038      4038     5     5.9914
          4000      5038      5038     5     6.1134
          5000      6038      6038     5     6.2903
          6000      7038      7038     5     6.3307
          7000      8038      8038     5     6.3307
          8000      9038      9038     5     6.3307
          9000     10038     10038     5     6.3307
         10000     11038     11038     5     6.5159
         11000     12038     12038     5     6.5159
         12000     13038     13038     5     6.5159
         13000     14038     14038     5     6.6296
         14000     14918     14918     5     6.8551
         15000     15106     15577     5     6.8551
         16000     15787     15943     5     6.8551
         17000     15806     16407     5     6.8551
         18000     16556     16556     5     6.8551
         19000     17009     17016     5     6.8551
         20000     17079     17079     5     6.8551
         21000     17020     17273     5     6.8551
         22000     17034     17273     5     6.8551
         23000     17174     17273     5     6.8551
         24000     17238     17453     5     6.9183
         25000     17811     18113     5     6.9183
         26000     18334     18469     5     6.9183
         27000     18778     18778     5     6.9183
         28000     19398     19405     5     6.9183
         29000     19886     19886     5     7.0403
         30000     20535     20535     5     7.1483
         31000     20806     20973     5     7.1540
         32000     21397     21397     5     7.1624
         33000     21869     22041     5     7.2575
         34000     22263     22603     5     7.2576
         35000     22621     22621     5     7.2576
         36000     23616     23616     5     7.2576
         37000     24481     24483     5     7.2576
         38000     23747     24488     5     7.2576
         39000     24367     24488     5     7.2576
         40000     25322     25322     5     7.2576
         41000     26266     26266     5     7.2576
         42000     24375     26287     5     7.2576
         43000     24375     26287     5     7.2576
         44000     25141     26287     5     7.2576
         45000     26137     26287     5     7.2576
         46000     27132     27132     5     7.2576
         47000     28113     28113     5     7.2576
         48000     29048     29048     5     7.2576
         49000     29467     29571     5     7.2576
         50000     26998     29571     5     7.2576
         51000     26487     29571     5     7.2576
         52000     26616     29571     5     7.2576
         53000     27274     29571     5     7.2576
         54000     26645     29571     5     7.2576
         55000     27627     29571     5     7.2576
         56000     28556     29571     5     7.2576
         57000     27478     29571     5     7.2576
         58000     28440     29571     5     7.2576
         59000     29425     29571     5     7.2576
