 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.86458999999999986       eV
 efermi =   -7.9904676300000013       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.2936441640E+000   0.1447850000E-005   0.9490000000E-004   0.5000000000E+000   0.2895700000E-005   0.1898000000E-003
  -0.2922440212E+000   0.1364614655E-005   0.9779704094E-004   0.5140178752E+000   0.2654800000E-005   0.1902600000E-003
  -0.2880435928E+000   0.1068909279E-005   0.1064687196E-003   0.5555372795E+000   0.1924100000E-005   0.1916500000E-003
  -0.2810428789E+000   0.4253170558E-006   0.1202415766E-003   0.6201855610E+000   0.6857900000E-006   0.1938800000E-003
  -0.2712418793E+000  -0.7545967556E-006   0.1369262758E-003   0.6954808807E+000  -0.1085000000E-005   0.1968800000E-003
  -0.2586405938E+000  -0.2611730156E-005   0.1534677530E-003   0.7653870282E+000  -0.3412300000E-005   0.2005100000E-003
  -0.2432390231E+000  -0.5180811615E-005   0.1679786177E-003   0.8209697359E+000  -0.6310600000E-005   0.2046100000E-003
  -0.2250371668E+000  -0.8426559245E-005   0.1801640119E-003   0.8619462823E+000  -0.9776200000E-005   0.2090200000E-003
  -0.2040350245E+000  -0.1228628279E-004   0.1903879030E-003   0.8915378270E+000  -0.1378100000E-004   0.2135500000E-003
  -0.1802325970E+000  -0.1668055037E-004   0.1990727680E-003   0.9130521853E+000  -0.1826900000E-004   0.2180300000E-003
  -0.1536298836E+000  -0.2151308032E-004   0.2064913850E-003   0.9289697003E+000  -0.2315800000E-004   0.2222800000E-003
  -0.1242268849E+000  -0.2666667546E-004   0.2128422077E-003   0.9409885833E+000  -0.2833900000E-004   0.2261900000E-003
  -0.9202360033E-001  -0.3201477779E-004   0.2182147628E-003   0.9502471815E+000  -0.3369100000E-004   0.2296400000E-003
  -0.5702003014E-001  -0.3742342112E-004   0.2226886974E-003   0.9575125656E+000  -0.3908400000E-004   0.2325700000E-003
  -0.1921617447E-001  -0.4275938918E-004   0.2263296046E-003   0.9633096598E+000  -0.4438800000E-004   0.2349500000E-003
   0.2138796687E-001  -0.4790267195E-004   0.2291847514E-003   0.9680045255E+000  -0.4948600000E-004   0.2367600000E-003
   0.6479239397E-001  -0.5274561900E-004   0.2313603829E-003   0.9718574430E+000  -0.5427300000E-004   0.2380600000E-003
   0.1109971065E+000  -0.5720366748E-004   0.2329021087E-003   0.9750569737E+000  -0.5866700000E-004   0.2388600000E-003
   0.1600021046E+000  -0.6120763531E-004   0.2339248055E-003   0.9777421337E+000  -0.6260100000E-004   0.2392500000E-003
   0.2118073883E+000  -0.6471346793E-004   0.2345082874E-003   0.9800170814E+000  -0.6603300000E-004   0.2392900000E-003
   0.2664129576E+000  -0.6769148310E-004   0.2347279629E-003   0.9819610227E+000  -0.6893500000E-004   0.2390400000E-003
   0.3840249541E+000  -0.7184926831E-004   0.2341945110E-003   0.9850866955E+000  -0.7293700000E-004   0.2377400000E-003
   0.5128380918E+000  -0.7090499517E-004   0.2359549975E-003   0.9874659866E+000  -0.7180500000E-004   0.2389500000E-003
   0.6528523711E+000  -0.7662668427E-004   0.2393755329E-003   0.9893186184E+000  -0.7745400000E-004   0.2419600000E-003
   0.8040677957E+000  -0.8080281805E-004   0.2402267365E-003   0.9907891465E+000  -0.8155400000E-004   0.2424600000E-003
   0.9664843582E+000  -0.8309285147E-004   0.2416750600E-003   0.9919757831E+000  -0.8376500000E-004   0.2436300000E-003
   0.1140102066E+001  -0.8455937722E-004   0.2428450785E-003   0.9929471257E+000  -0.8516000000E-004   0.2445700000E-003
   0.1324920919E+001  -0.8539412469E-004   0.2442146157E-003   0.9937522511E+000  -0.8593100000E-004   0.2457500000E-003
   0.1520940910E+001  -0.8589860564E-004   0.2456135287E-003   0.9944270159E+000  -0.8638000000E-004   0.2469900000E-003
   0.1728162047E+001  -0.8637081084E-004   0.2469883806E-003   0.9949981088E+000  -0.8680500000E-004   0.2482300000E-003
   0.1946584324E+001  -0.8684119716E-004   0.2482243654E-003   0.9954857243E+000  -0.8723500000E-004   0.2493500000E-003
   0.2176207744E+001  -0.8740663072E-004   0.2491655646E-003   0.9959053702E+000  -0.8776600000E-004   0.2501900000E-003
   0.2417032305E+001  -0.8808314121E-004   0.2498344058E-003   0.9962691143E+000  -0.8841300000E-004   0.2507700000E-003
   0.2669058012E+001  -0.8876196974E-004   0.2500734407E-003   0.9965864610E+000  -0.8906600000E-004   0.2509300000E-003
   0.2932284856E+001  -0.8918950954E-004   0.2498741753E-003   0.9968649775E+000  -0.8947000000E-004   0.2506600000E-003
   0.3206712846E+001  -0.8961732280E-004   0.2495269650E-003   0.9971107492E+000  -0.8987700000E-004   0.2502500000E-003
   0.3492341981E+001  -0.8966583541E-004   0.2488335143E-003   0.9973287146E+000  -0.8990600000E-004   0.2495000000E-003
   0.3789172264E+001  -0.8930523402E-004   0.2479542710E-003   0.9975229151E+000  -0.8952700000E-004   0.2485700000E-003
