natx =      980
    x       y        z       iph  
      0.00000      0.00000      1.67402   0      0.00000
     -0.70899     -1.22800      1.67402   2      1.41798
     -0.70899      1.22800      1.67402   2      1.41798
      1.41798      0.00000      1.67402   2      1.41798
      0.00000     -2.45600      1.67402   1      2.45600
      0.00000      2.45600      1.67402   1      2.45600
     -2.12697     -1.22800      1.67402   1      2.45601
     -2.12697      1.22800      1.67402   1      2.45601
      2.12697     -1.22800      1.67402   1      2.45601
      2.12697      1.22800      1.67402   1      2.45601
      1.41798     -2.45600      1.67402   2      2.83595
      1.41798      2.45600      1.67402   2      2.83595
     -2.83596      0.00000      1.67402   2      2.83596
      0.00000      0.00000     -1.67397   1      3.34798
      0.00000      0.00000      5.02202   1      3.34801
     -1.41797      0.00000     -1.67397   2      3.63588
      0.70900     -1.22800     -1.67397   2      3.63588
      0.70900      1.22800     -1.67397   2      3.63588
     -1.41797      0.00000      5.02202   2      3.63590
      0.70900     -1.22800      5.02202   2      3.63591
      0.70900      1.22800      5.02202   2      3.63591
     -0.70899     -3.68400      1.67402   2      3.75160
     -0.70899      3.68400      1.67402   2      3.75160
     -2.83596     -2.45600      1.67402   2      3.75162
     -2.83596      2.45600      1.67402   2      3.75162
      3.54495     -1.22800      1.67402   2      3.75162
      3.54495      1.22800      1.67402   2      3.75162
      0.00000     -2.45600     -1.67397   1      4.15222
      0.00000      2.45600     -1.67397   1      4.15222
     -2.12697     -1.22800     -1.67397   1      4.15222
     -2.12697      1.22800     -1.67397   1      4.15222
      2.12697     -1.22800     -1.67397   1      4.15222
      2.12697      1.22800     -1.67397   1      4.15222
      0.00000     -2.45600      5.02202   1      4.15224
      0.00000      2.45600      5.02202   1      4.15224
     -2.12697     -1.22800      5.02202   1      4.15225
     -2.12697      1.22800      5.02202   1      4.15225
      2.12697     -1.22800      5.02202   1      4.15225
      2.12697      1.22800      5.02202   1      4.15225
     -2.12697     -3.68400      1.67402   1      4.25392
     -2.12697      3.68400      1.67402   1      4.25392
      2.12697     -3.68400      1.67402   1      4.25392
      2.12697      3.68400      1.67402   1      4.25392
     -4.25394      0.00000      1.67402   1      4.25394
      4.25394      0.00000      1.67402   1      4.25394
     -1.41797     -2.45600     -1.67397   2      4.38766
     -1.41797      2.45600     -1.67397   2      4.38766
     -1.41797     -2.45600      5.02202   2      4.38768
      2.83597      0.00000     -1.67397   2      4.38768
     -1.41797      2.45600      5.02202   2      4.38768
      2.83597      0.00000      5.02202   2      4.38770
      0.00000     -4.91200      1.67402   1      4.91200
      0.00000      4.91200      1.67402   1      4.91200
     -4.25394     -2.45600      1.67402   1      4.91202
     -4.25394      2.45600      1.67402   1      4.91202
      4.25394     -2.45600      1.67402   1      4.91202
      4.25394      2.45600      1.67402   1      4.91202
      0.70900     -3.68400     -1.67397   2      5.02827
     -3.54494     -1.22800     -1.67397   2      5.02827
      0.70900      3.68400     -1.67397   2      5.02828
     -3.54494      1.22800     -1.67397   2      5.02828
      2.83597     -2.45600     -1.67397   2      5.02828
      0.70900     -3.68400      5.02202   2      5.02829
      2.83597      2.45600     -1.67397   2      5.02829
     -3.54494     -1.22800      5.02202   2      5.02829
      0.70900      3.68400      5.02202   2      5.02829
     -3.54494      1.22800      5.02202   2      5.02829
      2.83597     -2.45600      5.02202   2      5.02830
      2.83597      2.45600      5.02202   2      5.02830
      1.41798     -4.91200      1.67402   2      5.11257
      1.41798      4.91200      1.67402   2      5.11257
      3.54495     -3.68400      1.67402   2      5.11258
      3.54495      3.68400      1.67402   2      5.11258
     -4.96293     -1.22800      1.67402   2      5.11260
     -4.96293      1.22800      1.67402   2      5.11260
     -2.12697     -3.68400     -1.67397   1      5.41339
     -2.12697      3.68400     -1.67397   1      5.41339
      2.12697     -3.68400     -1.67397   1      5.41339
      2.12697      3.68400     -1.67397   1      5.41339
     -4.25394      0.00000     -1.67397   1      5.41341
      4.25394      0.00000     -1.67397   1      5.41341
     -2.12697     -3.68400      5.02202   1      5.41341
     -2.12697      3.68400      5.02202   1      5.41341
      2.12697     -3.68400      5.02202   1      5.41341
      2.12697      3.68400      5.02202   1      5.41341
     -4.25394      0.00000      5.02202   1      5.41342
      4.25394      0.00000      5.02202   1      5.41342
     -2.83596     -4.91200      1.67402   2      5.67190
     -2.83596      4.91200      1.67402   2      5.67190
      5.67192      0.00000      1.67402   2      5.67192
      0.00000     -4.91200     -1.67397   1      5.94447
      0.00000      4.91200     -1.67397   1      5.94447
      0.00000     -4.91200      5.02202   1      5.94448
      0.00000      4.91200      5.02202   1      5.94448
     -4.25394     -2.45600     -1.67397   1      5.94449
     -4.25394      2.45600     -1.67397   1      5.94449
      4.25394     -2.45600     -1.67397   1      5.94449
      4.25394      2.45600     -1.67397   1      5.94449
     -4.25394     -2.45600      5.02202   1      5.94450
     -4.25394      2.45600      5.02202   1      5.94450
      4.25394     -2.45600      5.02202   1      5.94450
      4.25394      2.45600      5.02202   1      5.94450
     -1.41797     -4.91200     -1.67397   2      6.11124
     -3.54494     -3.68400     -1.67397   2      6.11125
     -1.41797      4.91200     -1.67397   2      6.11125
     -3.54494      3.68400     -1.67397   2      6.11126
     -1.41797     -4.91200      5.02202   2      6.11126
     -3.54494     -3.68400      5.02202   2      6.11127
     -1.41797      4.91200      5.02202   2      6.11127
     -3.54494      3.68400      5.02202   2      6.11127
      4.96294     -1.22800     -1.67397   2      6.11128
      4.96294      1.22800     -1.67397   2      6.11128
      4.96294     -1.22800      5.02202   2      6.11129
      4.96294      1.22800      5.02202   2      6.11130
     -0.70899      6.14000      1.67402   2      6.18080
     -0.70899     -6.14000      1.67402   2      6.18080
     -4.96293     -3.68400      1.67402   2      6.18082
     -4.96293      3.68400      1.67402   2      6.18082
      5.67192     -2.45600      1.67402   2      6.18082
      5.67192      2.45600      1.67402   2      6.18082
     -2.12697      6.14000      1.67402   1      6.49797
      2.12697     -6.14000      1.67402   1      6.49797
     -2.12697     -6.14000      1.67402   1      6.49797
      2.12697      6.14000      1.67402   1      6.49797
     -4.25394      4.91200      1.67402   1      6.49798
      4.25394     -4.91200      1.67402   1      6.49798
     -4.25394     -4.91200      1.67402   1      6.49798
      4.25394      4.91200      1.67402   1      6.49798
     -6.38091     -1.22800      1.67402   1      6.49800
     -6.38091      1.22800      1.67402   1      6.49800
      6.38091     -1.22800      1.67402   1      6.49800
      6.38091      1.22800      1.67402   1      6.49800
      2.83597     -4.91200     -1.67397   2      6.58630
      2.83597      4.91200     -1.67397   2      6.58631
     -5.67191      0.00000     -1.67397   2      6.58631
      2.83597     -4.91200      5.02202   2      6.58632
      2.83597      4.91200      5.02202   2      6.58633
