 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.4388972514E+01    0.5664726023E+01
    0.1584612949E-03    0.4388972472E+01    0.5664725980E+01
    0.1665857792E-03    0.4388972386E+01    0.5664725892E+01
    0.1751268148E-03    0.4388972253E+01    0.5664725756E+01
    0.1841057586E-03    0.4388972069E+01    0.5664725568E+01
    0.1935450626E-03    0.4388971833E+01    0.5664725326E+01
    0.2034683302E-03    0.4388971538E+01    0.5664725025E+01
    0.2139003746E-03    0.4388971182E+01    0.5664724660E+01
    0.2248672813E-03    0.4388970759E+01    0.5664724227E+01
    0.2363964733E-03    0.4388970264E+01    0.5664723720E+01
    0.2485167797E-03    0.4388969690E+01    0.5664723132E+01
    0.2612585075E-03    0.4388969030E+01    0.5664722457E+01
    0.2746535176E-03    0.4388968276E+01    0.5664721685E+01
    0.2887353046E-03    0.4388967421E+01    0.5664720810E+01
    0.3035390802E-03    0.4388966454E+01    0.5664719820E+01
    0.3191018616E-03    0.4388965365E+01    0.5664718705E+01
    0.3354625639E-03    0.4388964141E+01    0.5664717453E+01
    0.3526620974E-03    0.4388962771E+01    0.5664716050E+01
    0.3707434697E-03    0.4388961239E+01    0.5664714482E+01
    0.3897518939E-03    0.4388959529E+01    0.5664712731E+01
    0.4097349008E-03    0.4388957623E+01    0.5664710781E+01
    0.4307424584E-03    0.4388955503E+01    0.5664708610E+01
    0.4528270965E-03    0.4388953145E+01    0.5664706197E+01
    0.4760440382E-03    0.4388950527E+01    0.5664703516E+01
    0.5004513380E-03    0.4388947620E+01    0.5664700541E+01
    0.5261100268E-03    0.4388944396E+01    0.5664697242E+01
    0.5530842647E-03    0.4388940823E+01    0.5664693584E+01
    0.5814415013E-03    0.4388936864E+01    0.5664689531E+01
    0.6112526445E-03    0.4388932478E+01    0.5664685042E+01
    0.6425922378E-03    0.4388927624E+01    0.5664680072E+01
    0.6755386463E-03    0.4388922250E+01    0.5664674572E+01
    0.7101742534E-03    0.4388916305E+01    0.5664668487E+01
    0.7465856660E-03    0.4388909729E+01    0.5664661755E+01
    0.7848639316E-03    0.4388902455E+01    0.5664654309E+01
    0.8251047659E-03    0.4388894412E+01    0.5664646076E+01
    0.8674087919E-03    0.4388885520E+01    0.5664636974E+01
    0.9118817916E-03    0.4388875690E+01    0.5664626911E+01
    0.9586349708E-03    0.4388864824E+01    0.5664615789E+01
    0.1007785237E-02    0.4388852816E+01    0.5664603497E+01
    0.1059455491E-02    0.4388839546E+01    0.5664589913E+01
    0.1113774935E-02    0.4388824882E+01    0.5664574904E+01
    0.1170879397E-02    0.4388808680E+01    0.5664558319E+01
    0.1230911668E-02    0.4388790781E+01    0.5664539997E+01
    0.1294021859E-02    0.4388771006E+01    0.5664519755E+01
    0.1360367778E-02    0.4388749162E+01    0.5664497394E+01
    0.1430115326E-02    0.4388725032E+01    0.5664472695E+01
    0.1503438906E-02    0.4388698380E+01    0.5664445413E+01
    0.1580521867E-02    0.4388668944E+01    0.5664415282E+01
    0.1661556956E-02    0.4388636434E+01    0.5664382004E+01
    0.1746746803E-02    0.4388600532E+01    0.5664345253E+01
    0.1836304427E-02    0.4388560884E+01    0.5664304669E+01
    0.1930453768E-02    0.4388517104E+01    0.5664259855E+01
    0.2029430249E-02    0.4388468763E+01    0.5664210372E+01
    0.2133481363E-02    0.4388415389E+01    0.5664155736E+01
    0.2242867292E-02    0.4388356460E+01    0.5664095415E+01
    0.2357861557E-02    0.4388291403E+01    0.5664028821E+01
    0.2478751704E-02    0.4388219583E+01    0.5663955305E+01
    0.2605840021E-02    0.4388140304E+01    0.5663874153E+01
    0.2739444296E-02    0.4388052795E+01    0.5663784577E+01
    0.2879898609E-02    0.4387956209E+01    0.5663685709E+01
    0.3027554168E-02    0.4387849610E+01    0.5663576592E+01
    0.3182780189E-02    0.4387731969E+01    0.5663456172E+01
    0.3345964819E-02    0.4387602152E+01    0.5663323288E+01
    0.3517516104E-02    0.4387458909E+01    0.5663176661E+01
    0.3697863011E-02    0.4387300863E+01    0.5663014882E+01
    0.3887456502E-02    0.4387126500E+01    0.5662836401E+01
    0.4086770659E-02    0.4386934151E+01    0.5662639508E+01
    0.4296303871E-02    0.4386721981E+01    0.5662422326E+01
    0.4516580081E-02    0.4386487968E+01    0.5662182786E+01
    0.4748150094E-02    0.4386229891E+01    0.5661918612E+01
    0.4991592955E-02    0.4385945302E+01    0.5661627301E+01
    0.5247517398E-02    0.4385631514E+01    0.5661306102E+01
    0.5516563369E-02    0.4385285571E+01    0.5660951988E+01
    0.5799403621E-02    0.4384904223E+01    0.5660561632E+01
    0.6096745403E-02    0.4384483899E+01    0.5660131381E+01
    0.6409332224E-02    0.4384020678E+01    0.5659657219E+01
    0.6737945714E-02    0.4383510253E+01    0.5659134740E+01
    0.7083407578E-02    0.4382947896E+01    0.5658559101E+01
    0.7446581651E-02    0.4382328418E+01    0.5657924994E+01
    0.7828376056E-02    0.4381646129E+01    0.5657226592E+01
    0.8229745479E-02    0.4380894785E+01    0.5656457507E+01
    0.8651693553E-02    0.4380067548E+01    0.5655610735E+01
    0.9095275367E-02    0.4379156918E+01    0.5654678604E+01
    0.9561600107E-02    0.4378154690E+01    0.5653652711E+01
    0.1005183383E-01    0.4377051873E+01    0.5652523858E+01
    0.1056720237E-01    0.4375838641E+01    0.5651281982E+01
    0.1110899442E-01    0.4374504236E+01    0.5649916078E+01
    0.1167856474E-01    0.4373036915E+01    0.5648414118E+01
    0.1227733756E-01    0.4371423834E+01    0.5646762966E+01
    0.1290681012E-01    0.4369650992E+01    0.5644948280E+01
    0.1356855642E-01    0.4367703096E+01    0.5642954418E+01
    0.1426423119E-01    0.4365563494E+01    0.5640764326E+01
    0.1499557396E-01    0.4363214025E+01    0.5638359427E+01
    0.1576441348E-01    0.4360634945E+01    0.5635719501E+01
    0.1657267224E-01    0.4357804751E+01    0.5632822554E+01
    0.1742237132E-01    0.4354700111E+01    0.5629644690E+01
    0.1831563540E-01    0.4351295655E+01    0.5626159962E+01
    0.1925469810E-01    0.4347563906E+01    0.5622340228E+01
    0.2024190758E-01    0.4343475045E+01    0.5618154996E+01
    0.2127973238E-01    0.4338996853E+01    0.5613571264E+01
    0.2237076759E-01    0.4334094430E+01    0.5608553349E+01
    0.2351774137E-01    0.4328730165E+01    0.5603062724E+01
    0.2472352175E-01    0.4322863410E+01    0.5597057839E+01
    0.2599112382E-01    0.4316450489E+01    0.5590493948E+01
    0.2732371724E-01    0.4309444316E+01    0.5583322929E+01
    0.2872463418E-01    0.4301794461E+01    0.5575493114E+01
    0.3019737766E-01    0.4293446717E+01    0.5566949118E+01
    0.3174563032E-01    0.4284343238E+01    0.5557631671E+01
    0.3337326359E-01    0.4274422051E+01    0.5547477467E+01
    0.3508434741E-01    0.4263617298E+01    0.5536419024E+01
    0.3688316037E-01    0.4251858682E+01    0.5524384557E+01
    0.3877420044E-01    0.4239071863E+01    0.5511297885E+01
