 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.86458999999999986       eV
 efermi =   -7.7295476900000004       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1469972360E+001  -0.5389652016E-003   0.2220703198E-004   0.9914738808E+000  -0.5436000000E-003   0.2239800000E-004
  -0.1454085726E+001  -0.5279180526E-003   0.2167009824E-004   0.9913581699E+000  -0.5325200000E-003   0.2185900000E-004
  -0.1438199091E+001  -0.5171394426E-003   0.2115304615E-004   0.9912392759E+000  -0.5217100000E-003   0.2134000000E-004
  -0.1422312457E+001  -0.5066193993E-003   0.2065686188E-004   0.9911170656E+000  -0.5111600000E-003   0.2084200000E-004
  -0.1406425822E+001  -0.4963281320E-003   0.2018054884E-004   0.9909913984E+000  -0.5008400000E-003   0.2036400000E-004
  -0.1390539188E+001  -0.4862854054E-003   0.1972509233E-004   0.9908621256E+000  -0.4907700000E-003   0.1990700000E-004
  -0.1374652554E+001  -0.4764515265E-003   0.1928949538E-004   0.9907290897E+000  -0.4809100000E-003   0.1947000000E-004
  -0.1358765919E+001  -0.4668363503E-003   0.1887177055E-004   0.9905921240E+000  -0.4712700000E-003   0.1905100000E-004
  -0.1342879285E+001  -0.4574200093E-003   0.1847290257E-004   0.9904510519E+000  -0.4618300000E-003   0.1865100000E-004
  -0.1326992650E+001  -0.4482024504E-003   0.1809288488E-004   0.9903056859E+000  -0.4525900000E-003   0.1827000000E-004
  -0.1311106016E+001  -0.4391737155E-003   0.1772874008E-004   0.9901558271E+000  -0.4435400000E-003   0.1790500000E-004
  -0.1295219382E+001  -0.4303139494E-003   0.1738145219E-004   0.9900012639E+000  -0.4346600000E-003   0.1755700000E-004
  -0.1279332747E+001  -0.4216330009E-003   0.1704903467E-004   0.9898417714E+000  -0.4259600000E-003   0.1722400000E-004
  -0.1263446113E+001  -0.4131110192E-003   0.1673247090E-004   0.9896771099E+000  -0.4174200000E-003   0.1690700000E-004
  -0.1247559478E+001  -0.4047380582E-003   0.1643076414E-004   0.9895070243E+000  -0.4090300000E-003   0.1660500000E-004
  -0.1231672844E+001  -0.3965140685E-003   0.1614390721E-004   0.9893312421E+000  -0.4007900000E-003   0.1631800000E-004
  -0.1215786210E+001  -0.3884291063E-003   0.1586991413E-004   0.9891494723E+000  -0.3926900000E-003   0.1604400000E-004
  -0.1199899575E+001  -0.3804732313E-003   0.1560877784E-004   0.9889614039E+000  -0.3847200000E-003   0.1578300000E-004
  -0.1184012941E+001  -0.3726463953E-003   0.1536049074E-004   0.9887667037E+000  -0.3768800000E-003   0.1553500000E-004
  -0.1168126306E+001  -0.3649386609E-003   0.1512603329E-004   0.9885650150E+000  -0.3691600000E-003   0.1530100000E-004
  -0.1152239672E+001  -0.3573499790E-003   0.1490243108E-004   0.9883559546E+000  -0.3615600000E-003   0.1507800000E-004
  -0.1136353038E+001  -0.3498605337E-003   0.1469066417E-004   0.9881391113E+000  -0.3540600000E-003   0.1486700000E-004
  -0.1120466403E+001  -0.3424801610E-003   0.1449072317E-004   0.9879140422E+000  -0.3466700000E-003   0.1466800000E-004
  -0.1104579769E+001  -0.3351890534E-003   0.1430259800E-004   0.9876802705E+000  -0.3393700000E-003   0.1448100000E-004
  -0.1088693134E+001  -0.3279970419E-003   0.1412529032E-004   0.9874372818E+000  -0.3321700000E-003   0.1430500000E-004
  -0.1072806500E+001  -0.3208843283E-003   0.1395878912E-004   0.9871845204E+000  -0.3250500000E-003   0.1414000000E-004
  -0.1056919865E+001  -0.3138508696E-003   0.1380308249E-004   0.9869213848E+000  -0.3180100000E-003   0.1398600000E-004
  -0.1041033231E+001  -0.3068867524E-003   0.1365914416E-004   0.9866472235E+000  -0.3110400000E-003   0.1384400000E-004
  -0.1025146597E+001  -0.3000017982E-003   0.1352498654E-004   0.9863613290E+000  -0.3041500000E-003   0.1371200000E-004
  -0.1009259962E+001  -0.2931663703E-003   0.1340256737E-004   0.9860629321E+000  -0.2973100000E-003   0.1359200000E-004
  -0.9933733279E+000  -0.2864001522E-003   0.1328989761E-004   0.9857511950E+000  -0.2905400000E-003   0.1348200000E-004
  -0.9774866934E+000  -0.2796735269E-003   0.1318991635E-004   0.9854252033E+000  -0.2838100000E-003   0.1338500000E-004
  -0.9616000590E+000  -0.2730061678E-003   0.1310063154E-004   0.9850839570E+000  -0.2771400000E-003   0.1329900000E-004
  -0.9457134246E+000  -0.2663684806E-003   0.1302202139E-004   0.9847263607E+000  -0.2705000000E-003   0.1322400000E-004
  -0.9298267902E+000  -0.2597702847E-003   0.1295701500E-004   0.9843512114E+000  -0.2639000000E-003   0.1316300000E-004
  -0.9139401558E+000  -0.2532017025E-003   0.1290361453E-004   0.9839571854E+000  -0.2573300000E-003   0.1311400000E-004
