natx =     1000
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -0.84870     -1.47000      2.01833   2      2.63721
     -0.84870     -1.47000     -2.01833   2      2.63721
     -0.84870      1.47000     -2.01833   2      2.63721
     -0.84870      1.47000      2.01833   2      2.63721
      1.69741      0.00000     -2.01833   2      2.63721
      1.69741      0.00000      2.01833   2      2.63721
     -2.54611      1.47000      0.00000   3      2.94000
      0.00000     -2.94000      0.00000   3      2.94000
      0.00000      2.94000      0.00000   3      2.94000
      2.54611     -1.47000      0.00000   3      2.94000
     -2.54611     -1.47000      0.00000   3      2.94000
      2.54611      1.47000      0.00000   3      2.94000
     -1.69741      0.00000      3.02750   1      3.47087
      0.84870     -1.47000      3.02750   1      3.47087
      0.84870     -1.47000     -3.02750   1      3.47087
      0.84870      1.47000      3.02750   1      3.47087
     -1.69741      0.00000     -3.02750   1      3.47087
      0.84870      1.47000     -3.02750   1      3.47087
      1.69741     -2.94000     -2.01833   2      3.94949
      1.69741     -2.94000      2.01833   2      3.94949
     -3.39482      0.00000     -2.01833   2      3.94949
     -3.39482      0.00000      2.01833   2      3.94949
      1.69741      2.94000     -2.01833   2      3.94949
      1.69741      2.94000      2.01833   2      3.94949
      0.00000      0.00000     -4.03667   2      4.03667
      0.00000      0.00000      4.03667   2      4.03667
     -1.69741     -2.94000     -3.02750   1      4.54869
     -1.69741     -2.94000      3.02750   1      4.54869
     -1.69741      2.94000     -3.02750   1      4.54869
     -1.69741      2.94000      3.02750   1      4.54869
      3.39482      0.00000     -3.02750   1      4.54869
      3.39482      0.00000      3.02750   1      4.54869
     -0.84870     -4.41000     -2.01833   2      4.92362
     -0.84870     -4.41000      2.01833   2      4.92362
      4.24352     -1.47000     -2.01833   2      4.92362
      4.24352     -1.47000      2.01833   2      4.92362
     -3.39482      2.94000     -2.01833   2      4.92362
     -3.39482      2.94000      2.01833   2      4.92362
     -0.84870      4.41000     -2.01833   2      4.92362
     -0.84870      4.41000      2.01833   2      4.92362
     -3.39482     -2.94000      2.01833   2      4.92362
     -3.39482     -2.94000     -2.01833   2      4.92362
      4.24352      1.47000     -2.01833   2      4.92362
      4.24352      1.47000      2.01833   2      4.92362
     -2.54611     -1.47000     -4.03667   2      4.99382
     -2.54611      1.47000     -4.03667   2      4.99382
      0.00000     -2.94000     -4.03667   2      4.99382
      0.00000      2.94000     -4.03667   2      4.99382
      2.54611     -1.47000     -4.03667   2      4.99382
      2.54611      1.47000     -4.03667   2      4.99382
     -2.54611      1.47000      4.03667   2      4.99382
      0.00000     -2.94000      4.03667   2      4.99382
      0.00000      2.94000      4.03667   2      4.99382
      2.54611     -1.47000      4.03667   2      4.99382
     -2.54611     -1.47000      4.03667   2      4.99382
      2.54611      1.47000      4.03667   2      4.99382
     -2.54611      4.41000      0.00000   3      5.09223
      2.54611     -4.41000      0.00000   3      5.09223
     -5.09223      0.00000      0.00000   3      5.09223
     -2.54611     -4.41000      0.00000   3      5.09223
      2.54611      4.41000      0.00000   3      5.09223
      5.09223      0.00000      0.00000   3      5.09223
      0.84870     -4.41000      3.02750   1      5.41610
     -4.24352     -1.47000      3.02750   1      5.41610
      3.39482     -2.94000      3.02750   1      5.41610
     -4.24352      1.47000      3.02750   1      5.41610
      0.84870     -4.41000     -3.02750   1      5.41610
      0.84870      4.41000     -3.02750   1      5.41610
      0.84870      4.41000      3.02750   1      5.41610
      3.39482     -2.94000     -3.02750   1      5.41610
     -4.24352      1.47000     -3.02750   1      5.41610
     -4.24352     -1.47000     -3.02750   1      5.41610
      3.39482      2.94000     -3.02750   1      5.41610
      3.39482      2.94000      3.02750   1      5.41610
     -5.09223      2.94000      0.00000   3      5.88000
      0.00000     -5.88000      0.00000   3      5.88000
      0.00000      5.88000      0.00000   3      5.88000
      5.09223     -2.94000      0.00000   3      5.88000
     -5.09223     -2.94000      0.00000   3      5.88000
      5.09223      2.94000      0.00000   3      5.88000
     -0.84870     -1.47000      6.05500   3      6.28842
     -0.84870      1.47000      6.05500   3      6.28842
      1.69741      0.00000      6.05500   3      6.28842
     -0.84870     -1.47000     -6.05500   3      6.28842
     -0.84870      1.47000     -6.05500   3      6.28842
      1.69741      0.00000     -6.05500   3      6.28842
      1.69741     -5.88000     -2.01833   2      6.44432
      1.69741     -5.88000      2.01833   2      6.44432
      4.24352     -4.41000     -2.01833   2      6.44432
      4.24352     -4.41000      2.01833   2      6.44432
      1.69741      5.88000     -2.01833   2      6.44432
      1.69741      5.88000      2.01833   2      6.44432
      4.24352      4.41000     -2.01833   2      6.44432
      4.24352      4.41000      2.01833   2      6.44432
     -2.54611      4.41000     -4.03667   2      6.49811
      2.54611     -4.41000     -4.03667   2      6.49811
     -2.54611     -4.41000     -4.03667   2      6.49811
     -2.54611     -4.41000      4.03667   2      6.49811
     -2.54611      4.41000      4.03667   2      6.49811
     -5.09223      0.00000     -4.03667   2      6.49811
      2.54611     -4.41000      4.03667   2      6.49811
      2.54611      4.41000     -4.03667   2      6.49811
      5.09223      0.00000     -4.03667   2      6.49811
     -5.09223      0.00000      4.03667   2      6.49811
      2.54611      4.41000      4.03667   2      6.49811
      5.09223      0.00000      4.03667   2      6.49811
     -1.69741      5.88000      3.02750   1      6.82798
     -4.24352      4.41000      3.02750   1      6.82798
     -1.69741      5.88000     -3.02750   1      6.82798
     -4.24352      4.41000     -3.02750   1      6.82798
      5.94093     -1.47000     -3.02750   1      6.82798
      5.94093     -1.47000      3.02750   1      6.82798
      5.94093      1.47000     -3.02750   1      6.82798
      5.94093      1.47000      3.02750   1      6.82798
