# # Cu                                                           FEFF 9.5.1  
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# # Pot 1 Z=29 Rmt= 1.356 Rnm= 1.393
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-3.777E+00 kf=1.822E+00 Vint=-1.643E+01 Rs_int= 1.990
# # PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 190.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00610    100.00     12.00     2   2.5527
#           2       0.00748     23.00      6.00     2   3.6100
#           3       0.00687     12.34     48.00     3   3.8290
#           4       0.00757      9.42     48.00     3   4.3577
#           5       0.00767     55.83     24.00     2   4.4213
#           6       0.00772     11.78     48.00     3   4.7633
#           7       0.00772     25.47     96.00     3   4.7633
#           8       0.00776     19.17     12.00     2   5.1053
#           9       0.00776      9.63     12.00     3   5.1053
#          10       0.00776     44.57     24.00     3   5.1053
#          11       0.00776      9.70     12.00     4   5.1053
#          12       0.02442      4.46     12.00     4   5.1053
#          14       0.00776     32.37     12.00     4   5.1053
#          16       0.00807      4.64     48.00     3   5.2920
#    14/  15 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -1.487788E-01  1.748194E-01 -2.123624E+00
     0.1000   -1.539774E-01  1.799021E-01 -2.114312E+00
     0.1500   -1.690545E-01  1.943961E-01 -2.087121E+00
     0.2000   -1.842463E-01  2.084564E-01 -2.057542E+00
     0.2500   -2.079936E-01  2.298853E-01 -2.010750E+00
     0.3000   -2.315149E-01  2.501941E-01 -1.959658E+00
     0.3500   -2.608992E-01  2.751441E-01 -1.893986E+00
     0.4000   -2.887126E-01  2.981464E-01 -1.823026E+00
     0.4500   -3.184955E-01  3.231614E-01 -1.740932E+00
     0.5000   -3.442635E-01  3.454373E-01 -1.653257E+00
     0.5500   -3.677088E-01  3.677413E-01 -1.557502E+00
     0.6000   -3.841491E-01  3.866800E-01 -1.456321E+00
     0.6500   -3.946314E-01  4.045089E-01 -1.349353E+00
     0.7000   -3.955190E-01  4.185660E-01 -1.237405E+00
     0.7500   -3.881735E-01  4.310651E-01 -1.120915E+00
     0.8000   -3.699295E-01  4.395989E-01 -1.000083E+00
     0.8500   -3.428415E-01  4.465823E-01 -8.752453E-01
     0.9000   -3.053984E-01  4.495792E-01 -7.468061E-01
     0.9500   -2.601288E-01  4.512399E-01 -6.144090E-01
     1.0000   -2.070244E-01  4.490169E-01 -4.791912E-01
     1.0500   -1.485576E-01  4.456957E-01 -3.398187E-01
     1.1000   -8.648009E-02  4.386754E-01 -1.984389E-01
     1.1500   -2.261523E-02  4.307947E-01 -5.252069E-02
     1.2000    3.959467E-02  4.194521E-01  9.453691E-02
     1.2500    9.935995E-02  4.074345E-01  2.463516E-01
     1.3000    1.521322E-01  3.922391E-01  3.983042E-01
     1.3500    1.984521E-01  3.765407E-01  5.551142E-01
     1.4000    2.335690E-01  3.580079E-01  7.107640E-01
     1.4500    2.594771E-01  3.391807E-01  8.710591E-01
     1.5000    2.723231E-01  3.179686E-01  1.028346E+00
     1.5500    2.754653E-01  2.967809E-01  1.189484E+00
     1.6000    2.668916E-01  2.738516E-01  1.344861E+00
     1.6500    2.505960E-01  2.511925E-01  1.501867E+00
     1.7000    2.270536E-01  2.277490E-01  1.648962E+00
     1.7500    2.001387E-01  2.051878E-01  1.793097E+00
     1.8000    1.720267E-01  1.831481E-01  1.921076E+00
     1.8500    1.455066E-01  1.629840E-01  2.038145E+00
     1.9000    1.228864E-01  1.450652E-01  2.131067E+00
     1.9500    1.050828E-01  1.305966E-01  2.206530E+00
     2.0000    9.288020E-02  1.202646E-01  2.259141E+00
     2.0500    8.519100E-02  1.143287E-01  2.300847E+00
     2.1000    8.041434E-02  1.133871E-01  2.353227E+00
     2.1500    7.523941E-02  1.158211E-01  2.434512E+00
     2.2000    6.660011E-02  1.196775E-01  2.551429E+00
     2.2500    5.314951E-02  1.241069E-01  2.699031E+00
     2.3000    3.328297E-02  1.270104E-01  2.876448E+00
     2.3500    7.965490E-03  1.274184E-01  3.079037E+00
     2.4000   -2.009593E-02  1.246803E-01  3.303479E+00
     2.4500   -4.434010E-02  1.241380E-01  3.506844E+00
     2.5000   -6.674411E-02  1.222747E-01  3.719000E+00
     2.5500   -8.514862E-02  1.189830E-01  3.939128E+00
     2.6000   -9.762052E-02  1.142043E-01  4.166736E+00
     2.6500   -1.059530E-01  1.109472E-01  4.411204E+00
     2.7000   -1.065520E-01  1.066890E-01  4.661697E+00
     2.7500   -9.929914E-02  1.014402E-01  4.918212E+00
     2.8000   -8.496722E-02  9.523625E-02  5.181052E+00
     2.8500   -6.642923E-02  9.192756E-02  5.475592E+00
     2.9000   -4.290624E-02  8.805981E-02  5.774259E+00
     2.9500   -1.711081E-02  8.367627E-02  6.077244E+00
     3.0000    8.006647E-03  7.883032E-02  6.384929E+00
     3.0500    3.239704E-02  7.708941E-02  6.716909E+00
     3.1000    5.200105E-02  7.502530E-02  7.048985E+00
     3.1500    6.467694E-02  7.265004E-02  7.381086E+00
     3.2000    6.928741E-02  6.998027E-02  7.713147E+00
     3.2500    6.924197E-02  7.051523E-02  8.044303E+00
     3.3000    6.145206E-02  7.068216E-02  8.370763E+00
     3.3500    4.710318E-02  7.048985E-02  8.692956E+00
     3.4000    2.810967E-02  6.994146E-02  9.011184E+00
     3.4500    7.679063E-03  7.025355E-02  9.315254E+00
     3.5000   -1.299501E-02  6.994062E-02  9.611664E+00
     3.5500   -3.162627E-02  6.912328E-02  9.899998E+00
