# r       w_scrn(r)      v_ch(r)
 8.5686860392E-3   1.4969611746E1   4.8459737011E1
 4.2659204628E-2   1.4823977661E1   4.8144891234E1
 7.6749723217E-2   1.4679802997E1   4.7831584911E1
 1.1084024181E-1   1.4537073131E1   4.7519803752E1
 1.4493076039E-1   1.4395773583E1   4.7209533623E1
 1.7902127898E-1   1.4255890020E1   4.6900760532E1
 2.1311179757E-1   1.4117408252E1   4.6593470637E1
 2.4720231616E-1   1.3980314231E1   4.6287650242E1
 2.8129283475E-1   1.3844594052E1   4.5983285792E1
 3.1538335334E-1   1.3710233945E1   4.5680363879E1
 3.4947387193E-1   1.3577220282E1   4.5378871231E1
 3.8356439051E-1   1.3445539570E1   4.5078794720E1
 4.1765490910E-1   1.3315178452E1   4.4780121355E1
 4.5174542769E-1   1.3186123702E1   4.4482838283E1
 4.8583594628E-1   1.3058362230E1   4.4186932786E1
 5.1992646487E-1   1.2931881076E1   4.3892392281E1
 5.5401698346E-1   1.2806667410E1   4.3599204318E1
 5.8810750205E-1   1.2682708529E1   4.3307356582E1
 6.2219802064E-1   1.2559991860E1   4.3016836885E1
 6.5628853922E-1   1.2438504954E1   4.2727633171E1
 6.9037905781E-1   1.2318235487E1   4.2439733513E1
 7.2446957640E-1   1.2199171260E1   4.2153126110E1
 7.5856009499E-1   1.2081300193E1   4.1867799287E1
 7.9265061358E-1   1.1964610332E1   4.1583741495E1
 8.2674113217E-1   1.1849089837E1   4.1300941310E1
 8.6083165076E-1   1.1734726992E1   4.1019387427E1
 8.9492216935E-1   1.1621510195E1   4.0739068667E1
 9.2901268793E-1   1.1509427961E1   4.0459973968E1
 9.6310320652E-1   1.1398468920E1   4.0182092388E1
 9.9719372511E-1   1.1288621818E1   3.9905413106E1
  1.0312842437E0   1.1179875511E1   3.9629925415E1
  1.0653747623E0   1.1072218967E1   3.9355618725E1
  1.0994652809E0   1.0965641267E1   3.9082482563E1
  1.1335557995E0   1.0860131598E1   3.8810506567E1
  1.1676463181E0   1.0755679259E1   3.8539680490E1
  1.2017368366E0   1.0652273652E1   3.8269994197E1
  1.2358273552E0   1.0549904290E1   3.8001437663E1
  1.2699178738E0   1.0448560787E1   3.7734000974E1
  1.3040083924E0   1.0348232863E1   3.7467674325E1
  1.3380989110E0   1.0248910341E1   3.7202448019E1
  1.3721894296E0   1.0150583146E1   3.6938312466E1
  1.4062799482E0   1.0053241303E1   3.6675258181E1
  1.4403704668E0   9.9568749377E0   3.6413275788E1
  1.4744609854E0   9.8614742750E0   3.6152356011E1
  1.5085515039E0   9.7670296373E0   3.5892489681E1
  1.5426420225E0   9.6735314442E0   3.5633667729E1
  1.5767325411E0   9.5809702111E0   3.5375881189E1
  1.6108230597E0   9.4893365487E0   3.5119121196E1
  1.6449135783E0   9.3986211616E0   3.4863378985E1
  1.6790040969E0   9.3088148477E0   3.4608645889E1
  1.7130946155E0   9.2199084969E0   3.4354913341E1
