fortran_path,fortran_dir,classification,primary_runtime_module,resolved_dependency_count,unresolved_target_count
feff10/src/ATOM/akeato.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/apot.f90,ATOM,migrated_to_rust,none,15,1
feff10/src/ATOM/aprdev.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/atomic.f90,ATOM,migrated_to_rust,none,9,3
feff10/src/ATOM/bkmrdf.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/cofcon.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/dentfa.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/dsordf.f90,ATOM,migrated_to_rust,none,1,1
feff10/src/ATOM/etotal.f90,ATOM,migrated_to_rust,none,1,0
feff10/src/ATOM/fdmocc.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/fdrirk.f90,ATOM,migrated_to_rust,none,1,0
feff10/src/ATOM/fpf0.f90,ATOM,migrated_to_rust,none,4,0
feff10/src/ATOM/inmuat.f90,ATOM,migrated_to_rust,none,4,1
feff10/src/ATOM/intdir.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/lagdat.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/messer.f90,ATOM,migrated_to_rust,none,2,0
feff10/src/ATOM/muatco.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/nucdev.f90,ATOM,migrated_to_rust,none,0,1
feff10/src/ATOM/nucmass.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/ortdat.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/potrdf.f90,ATOM,migrated_to_rust,none,1,0
feff10/src/ATOM/potslw.f90,ATOM,migrated_to_rust,pot,0,0
feff10/src/ATOM/s02at.f90,ATOM,migrated_to_rust,none,0,1
feff10/src/ATOM/scfdat.f90,ATOM,migrated_to_rust,none,22,2
feff10/src/ATOM/soldir.f90,ATOM,migrated_to_rust,none,1,1
feff10/src/ATOM/tabrat.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/ATOM/vlda.f90,ATOM,migrated_to_rust,none,3,1
feff10/src/ATOM/wfirdf.f90,ATOM,migrated_to_rust,none,5,0
feff10/src/ATOM/yzkrdf.f90,ATOM,migrated_to_rust,none,1,0
feff10/src/ATOM/yzkteg.f90,ATOM,migrated_to_rust,none,0,0
feff10/src/BAND/band.f90,BAND,runtime_owned,band,9,3
feff10/src/BAND/bandblaslapack.f90,BAND,runtime_owned,band,2,39
feff10/src/BAND/bandtot.f90,BAND,runtime_owned,band,15,0
feff10/src/BAND/brent.f90,BAND,runtime_owned,band,2,0
feff10/src/BAND/dbrent.f90,BAND,runtime_owned,band,1,0
feff10/src/BAND/fmsband.f90,BAND,runtime_owned,band,12,0
feff10/src/BAND/gauleg.f90,BAND,runtime_owned,band,0,0
feff10/src/BAND/ibravais.f90,BAND,runtime_owned,band,2,0
feff10/src/BAND/ikapmue.f90,BAND,runtime_owned,band,0,0
feff10/src/BAND/invert.f90,BAND,runtime_owned,band,0,0
feff10/src/BAND/kkrband.f90,BAND,runtime_owned,band,5,1
feff10/src/BAND/kpath.f90,BAND,runtime_owned,band,0,2
feff10/src/BAND/m_fitting.f90,BAND,runtime_owned,band,0,0
feff10/src/BAND/mnbrak.f90,BAND,runtime_owned,band,2,0
feff10/src/BAND/polcoe.f90,BAND,runtime_owned,band,0,0
feff10/src/COMMON/chopen.f90,COMMON,migrated_to_rust,multiple,2,1
feff10/src/COMMON/fixdsp.f90,COMMON,migrated_to_rust,xsph,4,0
feff10/src/COMMON/fixdsx.f90,COMMON,migrated_to_rust,multiple,4,0
feff10/src/COMMON/fixstr.f90,COMMON,migrated_to_rust,fullspectrum,2,0
feff10/src/COMMON/fixvar.f90,COMMON,migrated_to_rust,multiple,4,0
feff10/src/COMMON/getcom.f90,COMMON,migrated_to_rust,fullspectrum,5,0
feff10/src/COMMON/getorb.f90,COMMON,migrated_to_rust,multiple,3,2
feff10/src/COMMON/getxk.f90,COMMON,migrated_to_rust,none,0,0
feff10/src/COMMON/head.f90,COMMON,migrated_to_rust,multiple,2,0
feff10/src/COMMON/iniptz.f90,COMMON,migrated_to_rust,rixs,2,0
feff10/src/COMMON/isedge.f90,COMMON,migrated_to_rust,none,0,0
feff10/src/COMMON/itoken.f90,COMMON,migrated_to_rust,none,2,0
feff10/src/COMMON/m_afctr.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/m_config.f90,COMMON,migrated_to_rust,multiple,5,5
feff10/src/COMMON/m_constants.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/m_dimsmod.f90,COMMON,migrated_to_rust,multiple,3,0
feff10/src/COMMON/m_ifuns.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/m_inpmodules.f90,COMMON,migrated_to_rust,multiple,9,20
feff10/src/COMMON/m_kinds.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/m_lnlm.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/m_nrixs.f90,COMMON,migrated_to_rust,multiple,4,0
feff10/src/COMMON/m_readxmu.f90,COMMON,migrated_to_rust,rixs,2,0
feff10/src/COMMON/m_rotx.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/m_stkets.f90,COMMON,migrated_to_rust,multiple,3,1
feff10/src/COMMON/m_t3j.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/m_xstruc.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/nxtunt.f90,COMMON,migrated_to_rust,none,0,0
feff10/src/COMMON/padlib.f90,COMMON,migrated_to_rust,multiple,4,0
feff10/src/COMMON/pertab.f90,COMMON,migrated_to_rust,none,0,0
feff10/src/COMMON/pijump.f90,COMMON,migrated_to_rust,debye,1,1
feff10/src/COMMON/rdcmt.f90,COMMON,migrated_to_rust,xsph,0,0
feff10/src/COMMON/rdhead.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/rdpot.f90,COMMON,migrated_to_rust,multiple,5,0
feff10/src/COMMON/rdxsph.f90,COMMON,migrated_to_rust,multiple,4,0
feff10/src/COMMON/rdxsph_h.f90,COMMON,migrated_to_rust,fms,5,1
feff10/src/COMMON/rdxsphjas.f90,COMMON,migrated_to_rust,multiple,6,0
feff10/src/COMMON/setgam.f90,COMMON,migrated_to_rust,multiple,3,0
feff10/src/COMMON/setkap.f90,COMMON,migrated_to_rust,multiple,0,1
feff10/src/COMMON/stdnm.f90,COMMON,migrated_to_rust,fullspectrum,0,0
feff10/src/COMMON/str.f90,COMMON,migrated_to_rust,multiple,1,5
feff10/src/COMMON/str2dp.f90,COMMON,migrated_to_rust,multiple,0,1
feff10/src/COMMON/wlog.f90,COMMON,migrated_to_rust,multiple,1,0
feff10/src/COMMON/writematrix.f90,COMMON,migrated_to_rust,multiple,0,0
feff10/src/COMMON/xx.f90,COMMON,migrated_to_rust,none,0,0
feff10/src/COMPTON/compton.f90,COMPTON,runtime_owned,compton,11,6
feff10/src/COMPTON/m_compton.f90,COMPTON,runtime_owned,compton,7,3
feff10/src/COMPTON/m_rotation.f90,COMPTON,runtime_owned,multiple,3,0
feff10/src/CRPA/chi_crpa.f90,CRPA,runtime_owned,multiple,13,2
feff10/src/CRPA/crpa.f90,CRPA,runtime_owned,crpa,10,3
feff10/src/DEBYE/sigcl.f90,DEBYE,runtime_owned,multiple,3,2
feff10/src/DEBYE/sigm3.f90,DEBYE,runtime_owned,debye,0,0
feff10/src/DEBYE/sigms.f90,DEBYE,runtime_owned,multiple,3,2
feff10/src/DEBYE/sigrem.f90,DEBYE,runtime_owned,multiple,6,7
feff10/src/DEBYE/sigte3.f90,DEBYE,runtime_owned,debye,0,0
feff10/src/DMDW/dmdw.f90,DMDW,runtime_owned,dmdw,8,2
feff10/src/DMDW/dym2feffinp.f90,DMDW,runtime_owned,dmdw,4,1
feff10/src/DMDW/m_cmdline.f90,DMDW,runtime_owned,dmdw,0,1
feff10/src/DMDW/m_const_and_conv.f90,DMDW,runtime_owned,multiple,1,0
feff10/src/DMDW/m_dmdw.f90,DMDW,runtime_owned,multiple,6,19
feff10/src/DMDW/m_math.f90,DMDW,runtime_owned,multiple,1,3
feff10/src/Drivers/Example1.f90,DRIVERS,migrated_to_rust,none,1,0
feff10/src/Drivers/Example2.f90,DRIVERS,migrated_to_rust,none,1,0
feff10/src/Drivers/Example3.f90,DRIVERS,migrated_to_rust,none,1,2
feff10/src/Drivers/Example4.f90,DRIVERS,migrated_to_rust,none,1,0
feff10/src/Drivers/Example5.f90,DRIVERS,migrated_to_rust,none,1,0
feff10/src/Drivers/TestIO.f90,DRIVERS,migrated_to_rust,none,1,0
feff10/src/Drivers/TestIOFiles.f90,DRIVERS,migrated_to_rust,none,1,0
feff10/src/Drivers/TestOpenFl.f90,DRIVERS,migrated_to_rust,none,1,0
feff10/src/Drivers/TestPadi.f90,DRIVERS,migrated_to_rust,none,1,0
feff10/src/EELS/angularmesh.f90,EELS,runtime_owned,eels,4,0
feff10/src/EELS/calculateweights.f90,EELS,runtime_owned,eels,6,0
feff10/src/EELS/concat.f90,EELS,runtime_owned,multiple,0,0
feff10/src/EELS/eels.f90,EELS,runtime_owned,eels,19,3
feff10/src/EELS/euler.f90,EELS,runtime_owned,eels,0,1
feff10/src/EELS/m_program_control.f90,EELS,runtime_owned,eels,0,0
feff10/src/EELS/m_qvectors.f90,EELS,runtime_owned,eels,0,0
feff10/src/EELS/m_spectrum.f90,EELS,runtime_owned,eels,0,0
feff10/src/EELS/m_work.f90,EELS,runtime_owned,eels,0,0
feff10/src/EELS/productmatvect.f90,EELS,runtime_owned,eels,0,0
